id,sentence,meaning,created_at,updated_at,word_id,language,category_id
1,優秀な学生が表彰された。,An outstanding student was commended.,2026-07-11T13:23:16.810483+00:00,2026-08-29T05:35:26.246638+00:00,142,ja,44
2,この道は危険だ。,This road is dangerous.,2026-07-11T13:23:16.810483+00:00,2026-07-13T12:10:10.869826+00:00,169,ja,
3,睡眠が十分ではない。,I don't have sufficient sleep.,2026-07-11T13:23:16.810483+00:00,2026-07-11T13:23:16.810483+00:00,88,ja,
4,安いレストランで食べた。,I ate at an inexpensive restaurant.,2026-07-11T13:23:16.810483+00:00,2026-08-29T05:35:26.246638+00:00,193,ja,71
5,この温度は異常だ。,This temperature is abnormal.,2026-07-11T13:23:16.810483+00:00,2026-07-11T13:23:16.810483+00:00,210,ja,
6,確実な方法を選ぶ。,I choose a reliable method.,2026-07-11T13:23:16.810483+00:00,2026-07-11T13:23:16.810483+00:00,134,ja,
7,永遠の愛を誓う。,I vow eternal love.,2026-07-11T13:23:16.810483+00:00,2026-08-29T05:35:26.246638+00:00,188,ja,55
8,真面目に仕事に取り組んだ。,I tackled the work earnestly.,2026-07-11T13:23:16.810483+00:00,2026-08-29T05:35:26.246638+00:00,196,ja,48
9,この本はとても有益だった。,This book was very beneficial.,2026-07-11T13:23:16.810483+00:00,2026-07-11T13:23:16.810483+00:00,143,ja,
10,乗車券を改札に通す。,I pass the ticket through the ticket gate.,2026-07-11T13:23:16.810483+00:00,2026-08-29T05:35:26.246638+00:00,163,ja,82
11,丸いボールで遊ぶ。,Play with a round ball.,2026-07-11T13:23:16.810483+00:00,2026-08-29T05:35:26.246638+00:00,206,ja,69
12,会社の利益が増加した。,The company's profit increased.,2026-07-11T13:23:16.810483+00:00,2026-08-29T05:35:26.246638+00:00,128,ja,48
13,明日中に完成することは可能だ。,It is possible to finish by tomorrow.,2026-07-11T13:23:16.810483+00:00,2026-07-11T13:23:16.810483+00:00,92,ja,
14,この問題は容易に解ける。,This problem can be solved easily.,2026-07-11T13:23:16.810483+00:00,2026-08-29T05:35:26.246638+00:00,93,ja,57
15,政見放送を見る。,To watch the political broadcast.,2026-07-11T13:23:16.810483+00:00,2026-08-29T05:35:26.246638+00:00,71,ja,81
16,並行輸入品を購入した。,I bought parallel-imported goods.,2026-07-11T13:23:16.810483+00:00,2026-08-29T05:35:26.246638+00:00,133,ja,50
17,黄色いバナナを買った。,I bought yellow bananas.,2026-07-11T13:23:16.810483+00:00,2026-08-29T05:35:26.246638+00:00,190,ja,72
18,今日は寒いね。,"It's cold today, isn't it?",2026-07-11T13:23:16.810483+00:00,2026-08-29T05:35:26.246638+00:00,129,ja,34
19,彼女は明るい性格だ。,She has a cheerful personality.,2026-07-11T13:23:16.810483+00:00,2026-08-29T05:35:26.246638+00:00,115,ja,55
20,危険な場所には行かないでください。,Please do not go to dangerous places.,2026-07-11T13:23:16.810483+00:00,2026-07-13T12:10:10.869826+00:00,169,ja,
21,この荷物は重い。,This luggage is heavy.,2026-07-11T13:23:16.810483+00:00,2026-08-29T05:35:26.246638+00:00,162,ja,63
22,中央政府の方針に従う。,I follow the policy of the central government.,2026-07-11T13:23:16.810483+00:00,2026-08-29T05:35:26.246638+00:00,150,ja,81
23,傷口が深い。,The wound is deep.,2026-07-11T13:23:16.810483+00:00,2026-08-29T05:35:26.246638+00:00,146,ja,17
24,映画が今週公開された。,The movie was released this week.,2026-07-11T13:23:16.810483+00:00,2026-07-11T13:23:16.810483+00:00,179,ja,
25,彼は正直な人だ。,He is an honest person.,2026-07-11T13:23:16.810483+00:00,2026-07-11T13:23:16.810483+00:00,121,ja,
26,鋼鉄の橋が完成した。,A steel bridge was completed.,2026-07-11T13:23:16.810483+00:00,2026-07-11T13:23:16.810483+00:00,174,ja,
27,軍隊を指揮する。,To command the army.,2026-07-11T13:23:16.810483+00:00,2026-07-11T13:23:16.810483+00:00,178,ja,
28,安易な考えは禁物だ。,Careless thinking is dangerous.,2026-07-11T13:23:16.810483+00:00,2026-08-29T05:35:26.246638+00:00,97,ja,57
29,鉄鋼業が発展した。,The iron and steel industry developed.,2026-07-11T13:23:16.810483+00:00,2026-08-29T05:35:26.246638+00:00,98,ja,48
30,電車が速い。,The train is fast.,2026-07-11T13:23:16.810483+00:00,2026-08-29T05:35:26.246638+00:00,94,ja,59
31,古い本を読む。,Read an old book.,2026-07-11T13:23:16.810483+00:00,2026-07-11T13:23:16.810483+00:00,205,ja,
32,駅から家まで遠い。,It is far from the station to home.,2026-07-11T13:23:16.810483+00:00,2026-08-29T05:35:26.246638+00:00,82,ja,41
33,広い公園で遊ぶ。,Play in a wide park.,2026-07-11T13:23:16.810483+00:00,2026-07-11T13:23:16.810483+00:00,147,ja,
34,運動後は爽快な気分になる。,"After exercise, I feel refreshed.",2026-07-11T13:23:16.810483+00:00,2026-08-29T05:35:26.246638+00:00,106,ja,55
36,この友情は永遠だと信じている。,I believe this friendship is everlasting.,2026-07-11T13:23:16.810483+00:00,2026-08-29T05:35:26.246638+00:00,188,ja,55
37,新しい服を買った。,I bought new clothes.,2026-07-11T13:23:16.810483+00:00,2026-08-29T05:35:26.246638+00:00,85,ja,74
38,ニュースを聞いて悲しい気持ちになった。,I felt sad when I heard the news.,2026-07-11T13:23:16.810483+00:00,2026-08-29T05:35:26.246638+00:00,164,ja,55
39,絵を描くのが下手だ。,I am poor at drawing pictures.,2026-07-11T13:23:16.810483+00:00,2026-07-11T13:23:16.810483+00:00,204,ja,
40,灰色の空が広がっている。,The gray sky spreads out.,2026-07-11T13:23:16.810483+00:00,2026-08-29T05:35:26.246638+00:00,99,ja,34
41,事故の遺族に謝罪した。,He apologized to the bereaved families of the accident.,2026-07-11T13:23:16.810483+00:00,2026-07-11T13:23:16.810483+00:00,172,ja,
42,重い病気にかかった。,I got a serious illness.,2026-07-11T13:23:16.810483+00:00,2026-08-29T05:35:26.246638+00:00,162,ja,79
43,試験が近い。,The exam is soon.,2026-07-11T13:23:16.810483+00:00,2026-08-29T05:35:26.246638+00:00,107,ja,44
44,今日は早い時間に起きた。,I woke up at an early hour today.,2026-07-11T13:23:16.810483+00:00,2026-08-29T05:35:26.246638+00:00,96,ja,6
45,二つの作業を並行して進める。,To carry out two tasks concurrently.,2026-07-11T13:23:16.810483+00:00,2026-08-29T05:35:26.246638+00:00,133,ja,48
46,面白い映画を見た。,I watched a funny movie.,2026-07-11T13:23:16.810483+00:00,2026-07-11T13:23:16.810483+00:00,187,ja,
48,公園の中央に噴水がある。,There is a fountain in the center of the park.,2026-07-11T13:23:16.810483+00:00,2026-08-29T05:35:26.246638+00:00,150,ja,41
49,この山は高い。,This mountain is tall.,2026-07-11T13:23:16.810483+00:00,2026-08-29T05:35:26.246638+00:00,80,ja,34
50,部屋が暗いので電気をつけた。,I turned on the light because the room was dark.,2026-07-11T13:23:16.810483+00:00,2026-08-29T05:35:26.246638+00:00,220,ja,28
51,旧式な方法を使っている。,I'm using an old-fashioned method.,2026-07-11T13:23:16.810483+00:00,2026-07-11T13:23:16.810483+00:00,180,ja,
52,今日は暑いね。,"It's hot today, isn't it?",2026-07-11T13:23:16.810483+00:00,2026-08-29T05:35:26.246638+00:00,116,ja,34
53,正しい道を歩む。,To walk the right path.,2026-07-11T13:23:16.810483+00:00,2026-07-11T13:23:16.810483+00:00,177,ja,
54,仮面をつけてパーティーに参加した。,I attended the party wearing a mask.,2026-07-11T13:23:16.810483+00:00,2026-07-11T13:23:16.810483+00:00,77,ja,
55,青い空がきれいだ。,The blue sky is beautiful.,2026-07-11T13:23:16.810483+00:00,2026-08-29T05:35:26.246638+00:00,153,ja,34
56,有益な情報をありがとう。,Thank you for the useful information.,2026-07-11T13:23:16.810483+00:00,2026-08-29T05:35:26.246638+00:00,143,ja,52
57,白いシャツを着ている。,I am wearing a white shirt.,2026-07-11T13:23:16.810483+00:00,2026-08-29T05:35:26.246638+00:00,197,ja,74
58,暑い夏が終わった。,The hot summer ended.,2026-07-11T13:23:16.810483+00:00,2026-08-29T05:35:26.246638+00:00,116,ja,34
59,正直に言うと、好きではない。,"To be honest, I don't like it.",2026-07-11T13:23:16.810483+00:00,2026-07-11T13:23:16.810483+00:00,121,ja,
60,この本は面白い。,This book is interesting.,2026-07-11T13:23:16.810483+00:00,2026-07-11T13:23:16.810483+00:00,187,ja,
61,彼の髪は灰色になった。,His hair turned gray.,2026-07-11T13:23:16.810483+00:00,2026-08-29T05:35:26.246638+00:00,99,ja,17
62,宿題が多い。,There is a lot of homework.,2026-07-11T13:23:16.810483+00:00,2026-08-29T05:35:26.246638+00:00,79,ja,44
63,時間を大切に使う。,To use time carefully.,2026-07-11T13:23:16.810483+00:00,2026-08-29T05:35:26.246638+00:00,211,ja,6
64,友達が引っ越して悲しい。,I'm sad that my friend moved away.,2026-07-11T13:23:16.810483+00:00,2026-08-29T05:35:26.246638+00:00,164,ja,55
65,容易ではない課題に挑戦する。,I challenge a task that is not easy.,2026-07-11T13:23:16.810483+00:00,2026-07-11T13:23:16.810483+00:00,93,ja,
66,黒い猫がいる。,There is a black cat.,2026-07-11T13:23:16.810483+00:00,2026-08-29T05:35:26.246638+00:00,81,ja,36
67,それは本当の話です。,That is a true story.,2026-07-11T13:23:16.810483+00:00,2026-07-11T13:23:16.810483+00:00,152,ja,
68,大きい犬が好きだ。,I like big dogs.,2026-07-11T13:23:16.810483+00:00,2026-08-29T05:35:26.246638+00:00,104,ja,36
69,花が美しい。,The flowers are beautiful.,2026-07-11T13:23:16.810483+00:00,2026-08-29T05:35:26.246638+00:00,86,ja,34
70,電力の供給が止まった。,The electricity supply stopped.,2026-07-11T13:23:16.810483+00:00,2026-07-11T13:23:16.810483+00:00,87,ja,
71,彼は世界的に有名な音楽家だ。,He is a world-famous musician.,2026-07-11T13:23:16.810483+00:00,2026-07-11T13:23:16.810483+00:00,111,ja,
72,この椅子はとても快適だ。,This chair is very comfortable.,2026-07-11T13:23:16.810483+00:00,2026-08-29T05:35:26.246638+00:00,103,ja,77
73,世界遺産に登録された。,It was registered as a World Heritage site.,2026-07-11T13:23:16.810483+00:00,2026-08-29T05:35:26.246638+00:00,171,ja,39
74,干潮で砂浜が広がる。,The beach widens at low tide.,2026-07-11T13:23:16.810483+00:00,2026-08-29T05:35:26.246638+00:00,136,ja,34
75,新しい学校に入学した。,I enrolled in a new school.,2026-07-11T13:23:16.810483+00:00,2026-08-29T05:35:26.246638+00:00,85,ja,44
76,観光客が多い場所だ。,It is a place with many tourists.,2026-07-11T13:23:16.810483+00:00,2026-08-29T05:35:26.246638+00:00,79,ja,39
77,風が弱い。,The wind is weak.,2026-07-11T13:23:16.810483+00:00,2026-08-29T05:35:26.246638+00:00,191,ja,34
78,乗車券を購入する。,I purchase a train ticket.,2026-07-11T13:23:16.810483+00:00,2026-08-29T05:35:26.246638+00:00,163,ja,82
79,新しい閣僚が任命された。,New cabinet ministers were appointed.,2026-07-11T13:23:16.810483+00:00,2026-08-29T05:35:26.246638+00:00,84,ja,81
80,このりんごは安いです。,This apple is cheap.,2026-07-11T13:23:16.810483+00:00,2026-08-29T05:35:26.246638+00:00,193,ja,72
81,旧式の機械を新しくする。,I update the outdated machinery.,2026-07-11T13:23:16.810483+00:00,2026-07-11T13:23:16.810483+00:00,180,ja,
82,仮定の話をしよう。,Let's talk hypothetically.,2026-07-11T13:23:16.810483+00:00,2026-08-29T05:35:26.246638+00:00,198,ja,57
83,閣僚会議が開かれた。,A cabinet meeting was held.,2026-07-11T13:23:16.810483+00:00,2026-08-29T05:35:26.246638+00:00,84,ja,81
84,簡単に説明してください。,Please explain it simply.,2026-07-11T13:23:16.810483+00:00,2026-08-29T05:35:26.246638+00:00,192,ja,52
85,干潮の時に貝を拾う。,To pick up shells at low tide.,2026-07-11T13:23:16.810483+00:00,2026-08-29T05:35:26.246638+00:00,136,ja,34
86,朝早く学校へ行く。,I go to school early in the morning.,2026-07-11T13:23:16.810483+00:00,2026-08-29T05:35:26.246638+00:00,96,ja,44
87,潔く負けを認める。,I graciously admit defeat.,2026-07-11T13:23:16.810483+00:00,2026-08-29T05:35:26.246638+00:00,75,ja,69
88,見事な演技だった。,It was a splendid performance.,2026-07-11T13:23:16.810483+00:00,2026-07-11T13:23:16.810483+00:00,208,ja,
89,今日は出勤しなくていい。,I don't have to go to work today.,2026-07-11T13:23:16.810483+00:00,2026-08-29T05:35:26.246638+00:00,202,ja,48
90,異常な行動をとる。,To behave in an unusual way.,2026-07-11T13:23:16.810483+00:00,2026-07-11T13:23:16.810483+00:00,210,ja,
91,赤いりんごを食べた。,I ate a red apple.,2026-07-11T13:23:16.810483+00:00,2026-07-11T13:23:16.810483+00:00,140,ja,
92,太い木が森にある。,There are thick trees in the forest.,2026-07-11T13:23:16.810483+00:00,2026-08-29T05:35:26.246638+00:00,112,ja,34
93,深い悲しみを感じた。,I felt a profound sadness.,2026-07-11T13:23:16.810483+00:00,2026-08-29T05:35:26.246638+00:00,155,ja,55
94,数学が弱い。,I am weak in math.,2026-07-11T13:23:16.810483+00:00,2026-08-29T05:35:26.246638+00:00,191,ja,44
95,情報を公開する義務がある。,There is an obligation to disclose information.,2026-07-11T13:23:16.810483+00:00,2026-08-29T05:35:26.246638+00:00,179,ja,81
96,温かい人たちに囲まれている。,I am surrounded by warm-hearted people.,2026-07-11T13:23:16.810483+00:00,2026-08-29T05:35:26.246638+00:00,199,ja,55
97,家族と一緒にいると幸せだ。,I'm happy when I'm with my family.,2026-07-11T13:23:16.810483+00:00,2026-08-29T05:35:26.246638+00:00,90,ja,28
98,彼は料理が上手だ。,He is good at cooking.,2026-07-11T13:23:16.810483+00:00,2026-07-11T13:23:16.810483+00:00,167,ja,
99,試験の結果が不安だ。,I'm anxious about the exam results.,2026-07-11T13:23:16.810483+00:00,2026-08-29T05:35:26.246638+00:00,195,ja,44
100,長い時間待った。,I waited for a long time.,2026-07-11T13:23:16.810483+00:00,2026-08-29T05:35:26.246638+00:00,217,ja,6
101,鉄鋼メーカーが合併した。,Steel manufacturers merged.,2026-07-11T13:23:16.810483+00:00,2026-08-29T05:35:26.246638+00:00,98,ja,48
102,公共の利益のために働く。,I work for the public benefit.,2026-07-11T13:23:16.810483+00:00,2026-08-29T05:35:26.246638+00:00,128,ja,48
103,試練が苦しい。,The ordeal is painful.,2026-07-11T13:23:16.810483+00:00,2026-08-29T05:35:26.246638+00:00,101,ja,55
104,この問題は簡単だ。,This problem is easy.,2026-07-11T13:23:16.810483+00:00,2026-07-11T13:23:16.810483+00:00,192,ja,
105,大事な書類をなくした。,I lost an important document.,2026-07-11T13:23:16.810483+00:00,2026-07-11T13:23:16.810483+00:00,138,ja,
106,この仮定が正しければ…。,If this assumption is correct...,2026-07-11T13:23:16.810483+00:00,2026-08-29T05:35:26.246638+00:00,198,ja,57
107,細かい砂が浜にある。,Fine sand is on the beach.,2026-07-11T13:23:16.810483+00:00,2026-08-29T05:35:26.246638+00:00,158,ja,34
108,二人は同じ年齢だ。,The two of them are the same age.,2026-07-11T13:23:16.810483+00:00,2026-08-29T05:35:26.246638+00:00,109,ja,65
109,仁義を守る。,To uphold duty and justice.,2026-07-11T13:23:16.810483+00:00,2026-07-11T13:23:16.810483+00:00,130,ja,
110,鋼鉄のような意志を持つ。,To have a will as strong as steel.,2026-07-11T13:23:16.810483+00:00,2026-07-11T13:23:16.810483+00:00,174,ja,
111,小さい子供が公園で遊んでいる。,Small children are playing in the park.,2026-07-11T13:23:16.810483+00:00,2026-07-11T13:23:16.810483+00:00,72,ja,
112,寒い冬が終わった。,The cold winter ended.,2026-07-11T13:23:16.810483+00:00,2026-08-29T05:35:26.246638+00:00,129,ja,34
113,与党と野党が対立している。,The ruling party and opposition are in conflict.,2026-07-11T13:23:16.810483+00:00,2026-08-29T05:35:26.246638+00:00,139,ja,81
114,この湖はとても深い。,This lake is very deep.,2026-07-11T13:23:16.810483+00:00,2026-08-29T05:35:26.246638+00:00,155,ja,34
115,彼は優しい人だ。,He is a kind person.,2026-07-11T13:23:16.810483+00:00,2026-07-11T13:23:16.810483+00:00,110,ja,
116,黒い雲が出てきた。,Black clouds appeared.,2026-07-11T13:23:16.810483+00:00,2026-08-29T05:35:26.246638+00:00,81,ja,34
117,この映画の上映時間は二時間だ。,The screening time of this film is two hours.,2026-07-11T13:23:16.810483+00:00,2026-08-29T05:35:26.246638+00:00,100,ja,6
118,声が小さくて聞こえない。,Your voice is too quiet to hear.,2026-07-11T13:23:16.810483+00:00,2026-08-29T05:35:26.246638+00:00,72,ja,52
119,この荷物は軽い。,This luggage is light.,2026-07-11T13:23:16.810483+00:00,2026-08-29T05:35:26.246638+00:00,161,ja,63
120,速い車が通り過ぎた。,A fast car passed by.,2026-07-11T13:23:16.810483+00:00,2026-08-29T05:35:26.246638+00:00,94,ja,59
121,細い道を歩く。,Walk on a narrow road.,2026-07-11T13:23:16.810483+00:00,2026-08-29T05:35:26.246638+00:00,216,ja,59
122,彼はとても強い選手だ。,He is a very strong player.,2026-07-11T13:23:16.810483+00:00,2026-08-29T05:35:26.246638+00:00,185,ja,69
123,幸せな結婚式だった。,It was a happy wedding ceremony.,2026-07-11T13:23:16.810483+00:00,2026-08-29T05:35:26.246638+00:00,90,ja,28
124,十分に準備した。,I prepared thoroughly.,2026-07-11T13:23:16.810483+00:00,2026-07-11T13:23:16.810483+00:00,88,ja,
125,お金が少ない。,I have little money.,2026-07-11T13:23:16.810483+00:00,2026-08-29T05:35:26.246638+00:00,207,ja,50
126,正確な情報を伝える。,I convey accurate information.,2026-07-11T13:23:16.810483+00:00,2026-08-29T05:35:26.246638+00:00,151,ja,52
127,美しい景色を見た。,I saw a beautiful view.,2026-07-11T13:23:16.810483+00:00,2026-08-29T05:35:26.246638+00:00,86,ja,34
128,快適な部屋で過ごす。,I spend time in a comfortable room.,2026-07-11T13:23:16.810483+00:00,2026-07-11T13:23:16.810483+00:00,103,ja,
129,簡潔に答えてください。,Please answer concisely.,2026-07-11T13:23:16.810483+00:00,2026-08-29T05:35:26.246638+00:00,113,ja,52
130,本当にありがとう。,Thank you truly.,2026-07-11T13:23:16.810483+00:00,2026-08-29T05:35:26.246638+00:00,152,ja,55
131,健康は一番大事だ。,Health is the most important thing.,2026-07-11T13:23:16.810483+00:00,2026-07-11T13:23:16.810483+00:00,138,ja,
132,優しい言葉をかける。,To say gentle words.,2026-07-11T13:23:16.810483+00:00,2026-08-29T05:35:26.246638+00:00,110,ja,52
133,大きな声で話してください。,Please speak in a loud voice.,2026-07-11T13:23:16.810483+00:00,2026-08-29T05:35:26.246638+00:00,104,ja,52
134,この店は有名なラーメン屋だ。,This shop is a famous ramen restaurant.,2026-07-11T13:23:16.810483+00:00,2026-08-29T05:35:26.246638+00:00,111,ja,71
135,部屋が明るい。,The room is bright.,2026-07-11T13:23:16.810483+00:00,2026-07-11T13:23:16.810483+00:00,115,ja,
136,簡潔な文章を書く。,To write concise sentences.,2026-07-11T13:23:16.810483+00:00,2026-08-29T05:35:26.246638+00:00,113,ja,52
137,遠い国に旅行したい。,I want to travel to a distant country.,2026-07-11T13:23:16.810483+00:00,2026-08-29T05:35:26.246638+00:00,82,ja,39
138,温かいスープを飲んだ。,I drank warm soup.,2026-07-11T13:23:16.810483+00:00,2026-07-11T13:23:16.810483+00:00,199,ja,
139,この部屋は広い。,This room is spacious.,2026-07-11T13:23:16.810483+00:00,2026-07-11T13:23:16.810483+00:00,147,ja,
140,毎朝8時に出勤する。,I go to work at 8 a.m. every morning.,2026-07-11T13:23:16.810483+00:00,2026-08-29T05:35:26.246638+00:00,202,ja,48
141,父の遺産を受け継ぐ。,To inherit one's father's estate.,2026-07-11T13:23:16.810483+00:00,2026-08-29T05:35:26.246638+00:00,171,ja,28
142,与党が法案を可決した。,The ruling party passed the bill.,2026-07-11T13:23:16.810483+00:00,2026-08-29T05:35:26.246638+00:00,139,ja,81
143,オーケストラを指揮する。,To conduct the orchestra.,2026-07-11T13:23:16.810483+00:00,2026-07-11T13:23:16.810483+00:00,178,ja,
144,その答えは正しい。,That answer is correct.,2026-07-11T13:23:16.810483+00:00,2026-08-29T05:35:26.246638+00:00,177,ja,57
