id,slug,title,category,folder_order,sort_order,content,created_at,updated_at,language
1,0-overview,Overview,overview,0,0,"Here's the practical core — the stuff that shows up in nearly every conversation, versus the long tail of patterns that are mostly for reading/writing or exam nuance.

## 1. Particles are the skeleton
Japanese word order is flexible because particles mark grammatical role, not position. Six carry almost all daily conversation:
- **は** — topic (""as for X..."")
- **が** — subject/emphasis (subtly different from は — the classic hard-to-explain pair, but daily use is learnable by pattern before theory)
- **を** — direct object
- **に / で** — に for time/destination/indirect object, で for location-of-action/means
- **の** — possession/linking nouns
- **と / も** — ""and/with"" for people, ""also""

## 2. The て-form is the hub of the language
This is the single highest-leverage thing to master. Once you can form it, it unlocks most of daily grammar by just attaching things to it:
- 食べて + ください → please eat
- 食べて + いる → eating (progressive/state)
- 食べて + もいい → allowed to eat
- 食べて + はいけない → not allowed to eat
- 食べて + みる → try eating
- 食べて + おく → eat in preparation
- 食べて、飲んで、寝た → sequencing actions

If you only drill one conjugation hard, make it this one.

## 3. Register: plain form vs です/ます
Daily life constantly switches between polite (strangers, coworkers, service) and plain/casual (friends, family, inner thoughts). You need both forms of everything — this isn't optional politeness, it's a structural axis of the grammar (plain form is also what's used inside longer sentences, e.g. before と思う).

## 4. A small set of workhorse patterns
These cover a disproportionate share of real speech:
- **〜たい** — want to do
- **〜たら** — if/when (the most flexible, casual conditional — skip ば/と/なら until たら feels natural)
- **〜と思う** — I think
- **〜んです** — explanatory nuance (""the thing is..."") — extremely common in natural speech, rarely taught early
- **あげる/くれる/もらう** — giving and receiving, direction-of-favor matters a lot socially in Japanese
- **〜ことができる / 動詞可能形** — ability

## 5. Sentence-final particles
ね (seeking agreement), よ (asserting new info), か (question), わ (softening) — these get skipped in formal grammar study but carry enormous conversational nuance. Native daily speech barely exists without them.

---

Everything else — causative-passive, formal written forms, most of the ""hundred patterns"" — is long-tail: useful eventually, low-frequency in daily talk. If you want, this list could double as the actual skeleton for your notes draft, grouped as ""core"" vs ""everything else,"" rather than following the guide's chronological lesson order.",2026-07-16T09:38:08.895758+00:00,2026-07-16T09:38:08.895758+00:00,ja
2,1-particle/1a-は,は - topic particle,particle,1,1,"# は - topic particle

Marks what the sentence is *about* — sets the frame, then says something about it. Read as ""wa"" (not ""ha"") when used as a particle.

## Core pattern
**X は Y** → ""as for X, Y"" / ""speaking of X, it's Y""

- 私は学生です。— I'm a student. (as for me, [I'm a] student)
- これは本です。— This is a book.
- 東京は大きいです。— Tokyo is big.

## What it actually does
は doesn't mark the grammatical subject — it marks the **topic**. The topic can be the subject, but doesn't have to be:

- 象は鼻が長い。— Elephants, [their] trunk is long. (topic: elephant, subject of 長い: 鼻)
- この店はラーメンがおいしい。— This shop, the ramen is good. (topic: shop, subject: ramen)

This is why は and が can coexist in the same sentence — they're not competing for the same job.

## は vs が (the classic pain point)
Don't try to fully resolve this early — pattern-match instead:

| Use は | Use が |
|---|---|
| Introducing what you're talking about | Introducing new information |
| Known/already-established topic | Answering ""who/what"" questions |
| General statements, contrast | Specific, in-the-moment observation |
| 私は田中です。(self-intro) | 誉が来た。(が for ""who came"") |

Quick test: if the question is ""what about X?"" → は. If the question is ""what/who is it?"" → が.

- 田中さんは先生です。— Mr. Tanaka is a teacher. (talking about Tanaka)
- だれが先生ですか。— Who is the teacher? / 田中さんが先生です。— Tanaka is [the one who's] the teacher. (が picks him out of a group)

## Contrast use
は can single something out in contrast to something else (often left unsaid):

- 魚は食べますが、肉は食べません。— I eat fish, but I don't eat meat.
- 日本語は話せますが、中国語は話せません。— I can speak Japanese, but not Chinese.

This contrastive は can attach to almost any part of a sentence, not just the subject:

- 今日は行きません。— [Unlike other days,] today I'm not going.

## Negation magnet
Negative sentences pull を/が toward は even when the noun isn't the ""topic"" in a strong sense — this is extremely common:

- パンを食べません。→ パンは食べません。— I don't eat bread.

## Notes
- は replaces を and が entirely (never は and を/が together on the same noun).
- With に/で/と/から etc., は stacks after the particle: 東京には行きました。(added emphasis/contrast — ""to Tokyo, [at least,] I went"")
- Topic doesn't have to be repeated once established — Japanese drops it constantly once context is clear.",2026-07-16T09:38:08.895758+00:00,2026-07-16T09:38:08.895758+00:00,ja
3,1-particle/1b-が,が - subject/emphasis particle,particle,1,2,"# が - subject/emphasis particle

Marks the grammatical subject, with a flavor of ""this one specifically"" — pointing at *who/what* does or is something, often as new or highlighted information. See [[1a-は]] for the full は-vs-が comparison table.

## Core pattern
**X が Y** → ""X is the one that Y"" / introduces X as the answer

- 猫がいます。— There's a cat. (announcing its existence)
- 誰が来ましたか。— Who came? / 田中さんが来ました。— Tanaka came.
- 雨が降っています。— It's raining. (rain as the subject of the observed event)

## New information / answering ""who/what""
が is the natural choice when you're identifying something out of a group, or stating a fact for the first time:

- あの人が犯人です。— That person is the culprit. (picking them out)
- どれがあなたのですか。— Which one is yours? / これが私のです。— This one is mine.

Contrast with は, which would sound like ""that person, [as for them,] is the culprit"" — fine, but less natural as a first-mention answer.

## Objects of feeling/ability/desire
A large chunk of が's daily use isn't about ""subject"" at all — certain predicates just grammatically require が for their object:

- 日本語が分かります。— I understand Japanese.
- コーヒーが好きです。— I like coffee.
- 車がほしいです。— I want a car.
- 漢字が読めます。— I can read kanji. (potential form)

These aren't は/が contrast cases — the thing liked/wanted/understood/able-to-be-done is marked with が, full stop, even though English treats it like an object (""I like coffee"" → coffee = object, but Japanese treats it as what's inducing the feeling in you).

## Subordinate clauses: が where は can't go
Inside a relative clause or subordinate clause modifying a noun, the subject is marked with が (not は), even if it would take は as a main-clause topic:

- 私が作った料理です。— This is the food [that] I made.
- 猫がいる家。— A house where there's a cat.

This is the same mechanic behind 象は鼻が長い (see [[1a-は]]) — が marks the local subject inside the descriptive part, while は sets the overall topic.

## Emphatic contrast (the opposite direction of は)
が can also emphasize ""X and only X,"" gently excluding alternatives — often felt as slightly assertive or corrective:

- 僕がやります。— I'll do it. (I'm the one who will — not someone else)
- それが問題です。— That's the problem. (that one specifically)

## Notes
- が cannot stack with を or は on the same noun — it replaces them.
- Beginners overuse は and underuse が — if you're introducing something for the first time or answering a ""who/what"" question, reach for が.",2026-07-16T09:38:08.895758+00:00,2026-07-16T09:38:08.895758+00:00,ja
4,1-particle/2-を,を - direct object particle,particle,1,3,"# を - direct object particle

Marks the thing a verb acts on. Read as ""o"" (the を kana is basically only used for this particle).

## Core pattern
**X を Verb** → ""[do Verb] to/on X""

- パンを食べます。— I eat bread.
- 本を読みます。— I read a book.
- テレビを見ます。— I watch TV.

## Movement through/away from a space
A distinct use: を marks the space a motion verb passes through or departs from, not something being ""acted on"":

- 公園を歩きます。— I walk through the park.
- 道を渡ります。— I cross the street.
- 家を出ます。— I leave the house.
- 空を飛ぶ鳥。— A bird that flies through the sky.

Don't confuse this with に/で for destinations/locations — を is specifically the path or point of departure, not a fixed location.

## Dropped constantly in speech
In casual conversation, を is one of the first things to disappear. If the object is clear from context, native speakers routinely skip it — especially with common verbs:

- ご飯食べた? — (Did you) eat? (skipping ご飯を)
- 水ちょうだい。— Give me water. (skipping 水を)
- 何する? — What are you gonna do? (skipping 何を)

This is different from omitting the object entirely (which also happens once it's established in context) — here the noun stays, only the particle drops. It sounds natural and casual, not sloppy; but keep を in polite/written Japanese, and when the sentence would otherwise be ambiguous.

## Notes
- を cannot stack with は/が on the same noun — は or が replaces it under topic/contrast or negation (see [[1a-は]] ""negation magnet"").
- Some set expressions use を with verbs that don't feel like classic ""objects"": 旅行をする (to travel), 質問をする (to ask a question) — grammatically the noun+する combo takes を on the noun part.",2026-07-16T09:38:08.895758+00:00,2026-07-16T09:38:08.895758+00:00,ja
5,1-particle/3a-に,に - time / destination / indirect object particle,particle,1,4,"# に - time / destination / indirect object particle

に marks a fixed point: a point in time, a point you move toward, a point something exists at, or the person/thing on the receiving end of an action. See [[3b-で]] for the に-vs-で comparison.

## Time
Specific points in time (clock times, dates, days of week) take に. Relative time words (今日, 明日, 毎日, etc.) usually don't:

- 7時に起きます。— I get up at 7.
- 月曜日に行きます。— I'll go on Monday.
- 2020年に生まれました。— [I] was born in 2020.
- ~~今日に行きます~~ → 今日行きます。— I'll go today. (no に)

## Destination (motion toward a point)
With 行く/来る/帰る and similar verbs, に marks where you're headed:

- 学校に行きます。— I'm going to school.
- 家に帰ります。— I'm going home.
- 東京に来ました。— [I] came to Tokyo.

へ can substitute for this use (softer, more ""in the direction of""), but に is the default and also does more jobs へ can't.

## Existence / location of being
With いる/ある (existence verbs), に marks where something is located — not で:

- 猫が部屋にいます。— The cat is in the room.
- 机の上に本があります。— There's a book on the desk.

## Indirect object (the receiver)
に marks the person something is given to, said to, sent to, taught to — the ""to X"" of ""give X to Y"":

- 友達にプレゼントをあげました。— I gave a present to my friend.
- 先生に聞きました。— I asked the teacher.
- メールを田中さんに送りました。— I sent an email to Tanaka.

## Purpose (before a movement verb)
Verb stem + に + movement verb = ""go/come [in order] to do"":

- 昼ご飯を食べに行きます。— I'm going to eat lunch.
- 映画を見に行きました。— [I] went to see a movie.

## に vs で — the key split
Both can look like ""at/in [place],"" but they're not interchangeable:

| に | で |
|---|---|
| Where something **exists** (いる/ある) | Where an **action happens** |
| Fixed point in time | — |
| Destination of motion | Means/instrument of doing something |
| 部屋にいます。(I'm in the room — existing) | 部屋で勉強します。(I study in the room — acting) |

Rule of thumb: if the verb is いる/ある or a ""arrive-at"" verb, use に. If the verb describes an activity happening in a place, use で. See [[3b-で]] for the full breakdown from で's side.

## Notes
- に can stack after は/も for topic/contrast: 東京には行きました。(see [[1a-は]])
- に also marks the agent in passive/causative sentences (先生に叱られた — was scolded by the teacher) — long-tail, not needed early.",2026-07-16T09:38:08.895758+00:00,2026-07-16T09:38:08.895758+00:00,ja
6,1-particle/3b-で,で - location-of-action / means particle,particle,1,5,"# で - location-of-action / means particle

で marks the setting an action takes place in, or the tool/method used to do it. See [[3a-に]] for the に-vs-で comparison.

## Location of action
When a verb describes something happening (not just existing), で marks where it happens:

- 公園で遊びます。— [I] play in the park.
- レストランで食べました。— [I] ate at a restaurant.
- 図書館で勉強します。— [I] study at the library.

Compare with いる/ある, which take に instead — see the split below.

## Means / instrument
で marks the tool, method, or medium used to do something — ""by means of,"" ""with,"" ""using"":

- 電車で行きます。— [I] go by train.
- はしで食べます。— [I] eat with chopsticks.
- 日本語で話しました。— [I] spoke in Japanese.
- ペンで書いてください。— Please write with a pen.

## Cause/reason
で can mark the cause behind a state or event, especially with natural causes or circumstances:

- 風邪で休みました。— [I] took the day off because of a cold.
- 事故で電車が止まった。— The train stopped due to an accident.

## Scope/limit (""within X"")
で can mark a bounding quantity, time limit, or group:

- 3人で行きます。— [We] go as a group of 3.
- 1時間でできます。— [It] can be done within an hour.
- 全部で1000円です。— It's 1000 yen in total.

## に vs で — the key split
The classic beginner trap is choosing between に and で for ""at/in [place]."" They split along **existence vs. action**:

| で | に |
|---|---|
| Where an **action happens** | Where something **exists** (いる/ある) |
| Means/instrument of doing something | Fixed point in time |
| — | Destination of motion |
| 部屋で勉強します。(studying — an action happening in the room) | 部屋にいます。(existing — just being in the room) |

A useful test: can you meaningfully ask ""doing what, there?"" — if yes, で. If the sentence is really just answering ""where is it,"" そこにある/いる territory — に.

Some verbs genuinely take either depending on what you mean: 公園に集まる (gather at — arriving at a point) vs 公園で集まって遊ぶ (gather and play — action happening there). See [[3a-に]] for the full breakdown from に's side.

## Notes
- で also marks the material something is made from: 木で作った椅子。— A chair made of wood.
- で can stack after topic/contrast は: 電車では行きません。— [I] won't go by train (implying some other way).",2026-07-16T09:38:08.895758+00:00,2026-07-16T09:38:08.895758+00:00,ja
7,1-particle/4-の,の - possession / noun-linking particle,particle,1,6,"# の - possession / noun-linking particle

Links two nouns together, most commonly as possession, but really it's a general ""noun's noun"" connector.

## Possession
**X の Y** → ""X's Y"" / ""Y of X""

- 私の本。— My book.
- 田中さんの車。— Tanaka's car.
- 日本の首都。— The capital of Japan.

## Noun modifying noun (broader than possession)
の links any noun to another noun, describing/categorizing it — often where English uses a compound noun or ""of"":

- 英語の先生。— English teacher. (teacher of English)
- 大学の友達。— A friend from university.
- 木の机。— A wooden desk. (desk of wood)
- 日本語の本。— A Japanese[-language] book.

## Nominalizer (turning a clause into a noun)
の can turn a whole verb/adjective clause into something you can talk about as a thing — very common in casual explanation and with こと-like structures:

- 走るのが好きです。— [I] like running. (running, [that thing], is liked)
- 漢字を読むのは難しい。— Reading kanji is hard.
- 財布を忘れたのに気づいた。— [I] noticed that [I'd] forgotten my wallet.

This is functionally close to こと, but の is preferred for things you can perceive directly (見る/聞く/気づく) or habitual/immediate actions, while こと fits more abstract statements — a fine distinction to not over-worry about early.

## Explanatory の (spoken, casual んです's cousin)
At the end of a sentence, の (often contracted to ん, as in 〜んです) adds an explanatory/seeking-clarification tone:

- どうしたの? — What's wrong? (seeking an explanation)
- 遅れたの。— [I'm explaining:] I was late.

This overlaps heavily with 〜んです — see the workhorse patterns note in [[0-overview]].

## Chaining
の can chain multiple times:

- 私の母の車。— My mother's car.
- 日本の会社の社長。— The president of a Japanese company.

## Pronoun-like の (omitting a repeated noun)
の can stand in for a noun already established, avoiding repetition:

- 私の本と彼の(本)。— My book and his (one).
- 赤いのをください。— Please give me the red one.

## Notes
- Unlike English ""of,"" の always goes X の Y with X first — order never flips.
- の doesn't stack with は/が/を on the noun it attaches to a preceding noun; it just links nouns directly.",2026-07-16T09:38:08.895758+00:00,2026-07-16T09:38:08.895758+00:00,ja
8,1-particle/5a-と,"と - ""and/with"" (people, exhaustive lists) particle",particle,1,7,"# と - ""and/with"" (people, exhaustive lists) particle

Links nouns exhaustively (""and""), or marks a companion/counterpart for an action done together. See [[5b-も]] for how と differs from も's ""also"" role.

## Exhaustive ""and"" (complete list)
と lists all the items — nothing left out. Contrast with や (not covered in the core set), which implies ""and others"":

- パンとコーヒーを買いました。— I bought bread and coffee. (only those two things)
- 犬と猫がいます。— There's a dog and a cat.

## ""With"" (companion)
と marks who you do something together with — the co-participant, not the object:

- 友達と映画を見ました。— I watched a movie with a friend.
- 一人で行くより、家族と行きたい。— Rather than going alone, I want to go with family.

Compare: 友達に会いました (I met [ran into] a friend, に marks the target) vs 友達と会いました (I met up with a friend, と marks doing it together, more planned/mutual).

## Quoting / reporting speech and thought
と marks the content of what's said, thought, called, or written — pairs constantly with 言う/思う/聞く:

- 「行きます」と言いました。— [He] said, ""I'll go.""
- 明日雨が降ると思います。— I think it'll rain tomorrow.
- これは日本語で「猫」と言います。— This is called ""neko"" in Japanese.

This is the と behind the workhorse pattern 〜と思う (see [[0-overview]]) — always plain form before と思う, even in polite sentences.

## Conditional ""if/when"" (と-conditional)
と can form a conditional meaning ""whenever X happens, Y naturally follows"" — mechanical/automatic relationships, not one-off choices:

- 春になると、花が咲きます。— When spring comes, flowers bloom.
- このボタンを押すと、電気がつきます。— If you press this button, the light turns on.

Less flexible than たら for everyday hypothetical situations — see the note on たら in [[0-overview]] for why that's usually the better default.

## Reciprocal verbs
Certain verbs describing mutual action pair naturally with と since the action inherently involves two sides:

- 彼と結婚しました。— [I] married him.
- 隣の人と喧嘩した。— [I] had a fight with my neighbor.

## Notes
- と can't be dropped the way を is — it's load-bearing for clarity in ""and"" lists and quoting.
- と can stack with は for contrast: 彼とは話しません。— I won't talk with him [implying: unlike others].",2026-07-16T09:38:08.895758+00:00,2026-07-16T09:38:08.895758+00:00,ja
9,1-particle/5b-も,"も - ""also/too"" particle",particle,1,8,"# も - ""also/too"" particle

Marks something as being included alongside something else — ""also,"" ""too,"" or (in negative sentences) ""not... either."" See [[5a-と]] for how も differs from と's exhaustive-list role.

## Basic ""also/too""
も replaces は/が/を on the noun it attaches to — it doesn't stack with them:

- 私も学生です。— I'm also a student. (implying someone else already was mentioned)
- コーヒーも飲みます。— [I] drink coffee too.
- 田中さんも来ました。— Tanaka came too.

Compare with と: 私と田中さん (me and Tanaka, listed together in one clause) vs 私も行きます。田中さんも行きます。(I'm going too. Tanaka's going too. — separately confirmed, additive across sentences/clauses).

## Negative ""not... either""
In a negative sentence, も means ""not this one either"" — very common in daily conversation:

- 私も行きません。— I'm not going either.
- 肉も魚も食べません。— [I] don't eat meat or fish [either]. (see below for the も...も pattern)

## も...も — ""both...and"" / ""neither...nor""
Repeating も across two or more items gives an exhaustive ""both X and Y"" (affirmative) or ""neither X nor Y"" (negative):

- 兄も姉もいます。— I have both an older brother and an older sister.
- 時間もお金もない。— [I] have neither time nor money.

This is a distinct, stronger construction from と — と just lists things factually, も...も emphasizes the ""even this, even that"" completeness.

## Emphatic extremes (""even"")
も can push toward ""even,"" especially with numbers or extreme cases:

- 三時間も待ちました。— [I] waited a whopping three hours. (emphasizing it's a lot)
- 一円も持っていない。— [I] don't have even one yen.

## Notes
- も cannot combine with は/が/を on the same noun — it takes their place.
- With other particles (に, で, と, から), も stacks after them rather than replacing them: 東京にも行きました。— [I] went to Tokyo too.
- Don't confuse the additive も (this note) with も as part of 〜てもいい (see the て-form hub in [[0-overview]]) — that's an unrelated grammaticalized use, not ""also.""",2026-07-16T09:38:08.895758+00:00,2026-07-16T09:38:08.895758+00:00,ja
10,1-particle/6a-よ,よ - asserting new information particle,particle,1,9,"# よ - asserting new information particle

A sentence-final particle that flags what you're saying as new/important information the listener doesn't have yet — roughly ""I'm telling you,"" ""just so you know."" See [[6a-ね]] for the contrasting ""seeking agreement"" particle and [[6c-わ]] for the softening particle.

## Asserting new info
Use よ when you're telling the listener something they likely don't already know, or correcting/updating their assumption:

- もう12時ですよ。— It's already 12, you know. (they probably didn't realize)
- これ、おいしいですよ。— This is tasty, [I'm telling you]. (recommending, they haven't tried it)
- 危ないよ! — Watch out! / That's dangerous! (urgent new info)

Compare directly with ね: おいしいですね (isn't this tasty — inviting agreement, assuming they'll agree) vs おいしいですよ (this is tasty — informing/asserting, they don't know yet).

## Correction / pushback
よ carries a mild ""actually..."" force when contradicting or correcting the listener:

- 違いますよ。— That's wrong, [actually].
- もう食べましたよ。— [I] already ate, [you know]. (correcting an assumption that you hadn't)

Overusing よ in this mode can come across as pushy or condescending — tone and relationship matter a lot.

## Emphasis / insistence
よ can simply add force/insistence to a statement, opinion, or invitation:

- 行きましょうよ! — Let's go [come on]!
- 大丈夫ですよ。— It's fine, [really].

## Stacking with か/ね
よ combines with other sentence-final particles:

- よね — assert + check agreement: 明日休みですよね? — Tomorrow's a holiday, right? (see [[6a-ね]])
- よ alone doesn't combine with か (they serve opposite functions — asserting vs questioning) — か replaces よ, not stacks with it.

## Notes
- Dial down よ with strangers/superiors in sensitive moments — it can sound blunt; ね or no particle at all is safer when unsure.
- よ is not inherently rude — it's just informational emphasis; tone of voice determines whether it lands as helpful or curt.",2026-07-16T09:38:08.895758+00:00,2026-07-16T09:38:08.895758+00:00,ja
