concept_id,gloss,ja_word,part_of_speech,de_part_of_speech,de_word,de_gender,de_plural,de_cefr,note
1351,"to choose, select, pick",選ぶ,verb,verb,wählen,,,a2,
1352,"gate, entrance, school gate",門,noun,noun,Tor,das,Tore,a2,
1353,"to pick up, to find (and take), to collect",拾う,verb,verb,aufheben,,,b1,
1354,science,科学,noun,noun,Wissenschaft,die,Wissenschaften,b1,Distinct from 理科/Naturwissenschaft.
1355,"to fall down, to tumble, to trip",転ぶ,verb,verb,hinfallen,,,b1,
1356,library,図書館,noun,noun,Bibliothek,die,Bibliotheken,a2,
1357,"to write, to compose, to draw",書く,verb,verb,schreiben,,,a1,
1358,"reaction, response",反応,noun,noun,Reaktion,die,Reaktionen,b1,
1359,pond,池,noun,noun,Teich,der,Teiche,b1,
1360,pasta,パスタ,noun,noun,Pasta,die,,a2,
1361,"food, thing to eat",食べ物,noun,noun,Speise,die,Speisen,b1,Distinct from 食品/Lebensmittel.
1362,"example, instance, precedent",例,noun,noun,Beispiel,das,Beispiele,a1,
1363,"getting up, rising (from bed)",起床,noun,noun,Aufstehen,das,,b1,
1364,"plateau, highlands, tableland",高原,noun,noun,Hochebene,die,Hochebenen,c1,
1365,carpet,カーペット,noun,noun,Teppich,der,Teppiche,a2,
1366,"united states of america, the us",米国,noun,,,,,,A proper place name rather than vocabulary.
1367,"arithmetic, elementary school math",算数,noun,noun,Rechnen,das,,a2,Distinct from 数学/Mathematik.
1368,apartment,アパート,noun,noun,Mietwohnung,die,Mietwohnungen,b1,
1369,"best, highest, maximum, greatest",最高,noun,adjective,höchst,,,b1,"German equivalent is an adjective, not a noun."
1370,security deposit,敷金,noun,noun,Kaution,die,Kautionen,b2,
1371,"summer vacation, summer holidays",夏休み,noun,noun,Sommerferien,die,,a2,Used in the plural in German.
1372,"preparation for class, advance study",予習,noun,noun,Unterrichtsvorbereitung,die,,c1,Distinct from 用意/Vorbereitung.
1373,building age,築年数,noun,noun,Baujahr,das,Baujahre,b2,
1374,to swim,泳ぐ,verb,verb,schwimmen,,,a1,
1375,timetable,時刻表,noun,noun,Fahrplan,der,Fahrpläne,b1,
1376,to scan,読み取る,verb,verb,einlesen,,,b2,
1377,air temperature,気温,noun,noun,Lufttemperatur,die,,b2,Distinct from 温度/Temperatur.
1378,"now, present, currently",現在,noun,adverb,derzeit,,,b1,"German equivalent is an adverb, not a noun."
1379,"village, hometown, birthplace, country",里,noun,noun,Dorf,das,Dörfer,a2,
1380,identity verification,本人確認,noun,noun,Identitätsprüfung,die,Identitätsprüfungen,c1,
1381,"explanation, description, account",説明,noun,noun,Erklärung,die,Erklärungen,a2,
1382,"showa era (1926-1989), the reign of emperor hirohito",昭和,noun,,,,,,A Japanese era name rather than vocabulary.
1383,viewpoint,目線,noun,noun,Blickwinkel,der,Blickwinkel,b2,
1384,registration,登録,noun,noun,Registrierung,die,Registrierungen,b1,Distinct from 申し込み/Anmeldung.
1385,"to continue, last, go on",続く,verb,verb,andauern,,,b1,
1386,"thanks, gratitude, expression of thanks",お礼,noun,noun,Danksagung,die,Danksagungen,b2,Distinct from 感謝/Dank.
1387,"to compete, rival",競う,verb,verb,wetteifern,,,c1,
